timestamp,MQ-135,MQ-7
0,116,523
10,117,502
20,115,501
30,118,501
40,121,501
50,117,504
60,114,501
70,114,502
80,107,502
90,108,501
100,111,502
110,109,502
120,113,503
130,112,501
140,113,503
150,114,504
160,116,503
170,114,505
180,122,503
190,122,503
200,118,504
210,117,503
220,119,503
230,118,504
240,118,502
250,119,506
260,118,506
270,118,505
280,111,504
290,109,502
300,100,500
310,91,501
320,95,501
330,95,502
340,93,500
350,96,502
360,99,501
370,100,503
380,102,503
390,103,503
400,105,504
410,105,504
420,104,504
430,106,503
440,105,503
450,106,503
460,105,503
470,107,503
480,107,502
490,107,502
500,110,504
510,106,502
520,109,504
530,108,503
540,108,504
550,110,505
560,109,503
570,109,503
580,110,504
590,109,504
600,111,503
610,109,503
620,110,504
630,110,504
640,112,502
650,109,503
660,109,503
670,111,504
680,111,504
690,111,504
700,111,504
710,111,503
720,110,505
730,111,504
740,111,504
750,110,505
760,113,504
770,111,505
780,110,503
790,111,504
800,112,504
810,110,505
820,110,506
830,111,505
840,112,504
850,111,504
860,112,505
870,111,505
880,111,503
890,113,504
900,110,504
910,111,505
920,112,504
930,112,504
940,113,504
950,112,505
960,105,505
970,111,506
980,110,504
990,110,504
