timestamp,MQ-135,MQ-7
0,151,527
10,149,519
20,149,518
30,149,518
40,149,518
50,149,517
60,149,519
70,149,518
80,149,518
90,149,518
100,148,517
110,149,517
120,149,516
130,149,517
140,149,517
150,150,516
160,150,519
170,150,517
180,150,518
190,150,517
200,150,518
210,148,517
220,150,517
230,150,517
240,151,518
250,149,517
260,150,516
270,149,517
280,150,518
290,152,518
300,150,518
310,151,518
320,151,517
330,150,518
340,150,517
350,147,517
360,150,517
370,149,516
380,152,518
390,150,517
400,149,517
410,151,517
420,148,516
430,149,516
440,152,515
450,150,517
460,150,517
470,149,516
480,149,518
490,150,517
500,148,518
510,149,516
520,149,516
530,149,518
540,149,517
550,148,517
560,148,517
570,148,514
580,149,516
590,149,516
600,150,516
610,151,517
620,150,517
630,150,517
640,149,516
650,148,517
660,151,516
670,150,518
680,148,517
690,149,517
700,150,517
710,149,517
720,149,515
730,149,517
740,151,516
750,150,515
760,147,516
770,151,515
780,149,515
790,149,517
800,150,516
810,150,517
820,150,516
830,150,517
840,149,516
850,150,515
860,147,516
870,150,517
880,150,517
890,152,517
900,150,518
910,151,517
920,148,516
930,151,518
940,149,516
950,149,516
960,150,517
970,148,516
980,150,518
990,149,516
