timestamp,MQ-135,MQ-7
0,153,528
10,152,522
20,152,521
30,153,520
40,156,521
50,153,520
60,153,521
70,153,522
80,151,521
90,153,520
100,152,520
110,154,521
120,153,520
130,150,519
140,153,521
150,152,520
160,152,521
170,153,521
180,153,519
190,153,521
200,154,521
210,154,521
220,153,522
230,153,521
240,150,520
250,153,522
260,153,521
270,153,521
280,153,521
290,150,521
300,153,520
310,153,520
320,153,521
330,153,518
340,153,521
350,152,519
360,153,522
370,153,521
380,152,520
390,152,520
400,153,520
410,152,521
420,152,520
430,152,521
440,153,519
450,152,520
460,152,520
470,152,520
480,152,520
490,153,522
500,153,520
510,151,518
520,153,520
530,153,520
540,150,521
550,151,521
560,154,522
570,154,520
580,152,520
590,153,521
600,152,520
610,152,520
620,151,520
630,155,521
640,153,521
650,152,519
660,152,521
670,153,521
680,151,520
690,153,522
700,154,521
710,153,520
720,153,521
730,153,521
740,152,522
750,152,520
760,152,520
770,153,520
780,152,520
790,153,519
800,152,521
810,154,520
820,152,521
830,152,522
840,153,521
850,153,521
860,153,521
870,153,520
880,153,520
890,150,522
900,152,521
910,152,522
920,152,522
930,153,520
940,150,521
950,149,520
960,152,522
970,153,521
980,153,520
990,153,521
