timestamp,MQ-135,MQ-7
0,147,528
10,147,524
20,147,524
30,146,525
40,146,524
50,146,524
60,147,524
70,147,524
80,146,524
90,149,526
100,147,522
110,149,523
120,147,523
130,148,524
140,146,524
150,145,523
160,144,523
170,145,524
180,146,525
190,146,524
200,146,525
210,146,525
220,144,525
230,146,525
240,146,525
250,144,524
260,147,524
270,146,523
280,147,524
290,147,524
300,146,524
310,147,523
320,146,525
330,146,522
340,147,523
350,144,524
360,146,524
370,145,522
380,146,525
390,145,523
400,145,525
410,146,524
420,145,524
430,145,522
440,145,524
450,147,524
460,146,524
470,146,525
480,145,524
490,145,522
500,146,524
510,145,523
520,146,524
530,145,524
540,146,525
550,145,524
560,143,524
570,145,524
580,146,525
590,145,524
600,145,523
610,145,524
620,146,525
630,144,524
640,146,525
650,146,524
660,143,525
670,145,524
680,147,524
690,146,524
700,145,524
710,145,524
720,146,523
730,146,524
740,145,525
750,146,525
760,145,523
770,146,525
780,145,524
790,145,524
800,145,525
810,145,524
820,142,524
830,148,524
840,145,524
850,145,524
860,147,524
870,144,524
880,144,523
890,143,524
900,144,525
910,146,523
920,142,525
930,144,524
940,146,524
950,145,524
960,146,524
970,145,524
980,146,524
990,146,525
