timestamp,MQ-135,MQ-7
0,156,528
10,155,523
20,156,524
30,155,521
40,155,523
50,154,523
60,155,524
70,156,522
80,155,522
90,155,524
100,155,524
110,156,523
120,154,523
130,154,523
140,154,524
150,155,521
160,155,523
170,155,522
180,154,524
190,156,522
200,155,522
210,155,522
220,154,523
230,153,523
240,155,523
250,155,523
260,155,523
270,154,521
280,154,523
290,156,523
300,155,523
310,157,523
320,155,524
330,155,522
340,155,522
350,152,522
360,157,522
370,155,524
380,156,523
390,155,521
400,154,524
410,155,524
420,154,522
430,155,523
440,157,522
450,154,523
460,154,523
470,155,523
480,154,523
490,154,523
500,155,524
510,154,520
520,155,523
530,155,523
540,155,524
550,156,523
560,155,523
570,155,523
580,155,523
590,155,523
600,155,522
610,155,523
620,155,522
630,157,523
640,154,524
650,155,522
660,155,522
670,154,522
680,155,521
690,153,524
700,153,524
710,155,524
720,154,523
730,155,522
740,158,524
750,155,523
760,154,522
770,155,524
780,154,523
790,156,521
800,155,523
810,155,523
820,155,523
830,155,521
840,155,523
850,156,523
860,156,523
870,155,522
880,155,523
890,155,523
900,155,522
910,155,522
920,152,522
930,155,521
940,156,523
950,155,521
960,155,523
970,154,523
980,155,523
990,154,523
