timestamp,MQ-135,MQ-7
0,164,527
10,165,522
20,165,522
30,164,522
40,164,522
50,165,522
60,164,520
70,164,522
80,163,521
90,165,523
100,164,520
110,165,522
120,164,520
130,164,520
140,164,522
150,164,521
160,165,522
170,165,523
180,167,522
190,165,522
200,165,522
210,166,522
220,165,523
230,166,522
240,166,522
250,165,521
260,166,521
270,164,521
280,166,521
290,166,522
300,166,522
310,166,522
320,165,523
330,166,521
340,165,522
350,166,523
360,165,522
370,166,523
380,163,520
390,165,522
400,165,522
410,166,523
420,165,522
430,167,521
440,165,522
450,165,522
460,164,522
470,165,523
480,167,521
490,166,522
500,166,522
510,165,522
520,166,523
530,165,523
540,162,522
550,164,523
560,167,521
570,165,522
580,167,523
590,165,522
600,164,522
610,166,521
620,165,522
630,166,522
640,165,522
650,165,523
660,165,520
670,164,523
680,167,523
690,165,522
700,166,522
710,165,522
720,165,522
730,166,523
740,165,521
750,165,521
760,166,522
770,165,524
780,165,522
790,165,522
800,165,522
810,166,521
820,165,521
830,164,520
840,165,520
850,164,523
860,166,521
870,165,521
880,165,522
890,166,520
900,166,523
910,165,521
920,165,522
930,165,521
940,165,520
950,165,520
960,165,521
970,165,523
980,166,523
990,166,522
