timestamp,MQ-135,MQ-7
0,143,527
10,142,521
20,142,520
30,143,521
40,143,519
50,143,522
60,143,521
70,143,519
80,143,521
90,143,521
100,143,520
110,143,521
120,143,520
130,143,520
140,142,520
150,143,522
160,144,520
170,144,520
180,143,521
190,144,522
200,143,522
210,143,521
220,142,521
230,143,522
240,143,520
250,143,521
260,143,520
270,143,521
280,143,520
290,143,520
300,143,521
310,144,521
320,143,521
330,144,520
340,143,519
350,143,520
360,144,521
370,143,522
380,144,520
390,144,520
400,144,522
410,144,520
420,143,520
430,143,518
440,142,521
450,143,520
460,143,519
470,144,520
480,143,520
490,143,520
500,141,520
510,143,520
520,143,521
530,143,519
540,143,518
550,143,522
560,143,520
570,144,521
580,145,521
590,143,521
600,143,520
610,143,521
620,141,521
630,143,521
640,143,521
650,141,520
660,143,520
670,143,520
680,143,520
690,146,520
700,143,521
710,143,520
720,143,521
730,145,521
740,143,520
750,143,520
760,144,521
770,144,521
780,143,520
790,144,520
800,143,520
810,144,520
820,144,521
830,145,519
840,142,520
850,143,521
860,143,520
870,143,520
880,143,520
890,144,520
900,144,520
910,144,520
920,144,520
930,144,521
940,143,521
950,143,519
960,143,517
970,143,520
980,144,521
990,143,521
