timestamp,MQ-135,MQ-7
0,125,510
10,123,496
20,118,497
30,118,497
40,117,496
50,102,496
60,106,494
70,98,494
80,102,495
90,102,493
100,102,494
110,103,496
120,104,494
130,106,495
140,108,495
150,113,497
160,117,496
170,112,495
180,113,497
190,121,496
200,120,497
210,121,497
220,123,497
230,126,497
240,124,497
250,125,499
260,120,497
270,121,499
280,121,499
290,121,499
300,121,499
310,122,497
320,120,499
330,122,499
340,121,498
350,122,501
360,123,497
370,122,499
380,121,499
390,122,498
400,122,499
410,122,497
420,121,498
430,122,499
440,123,499
450,123,500
460,122,497
470,123,499
480,122,499
490,122,498
500,123,499
510,122,498
520,123,498
530,125,499
540,121,498
550,122,499
560,120,498
570,122,499
580,122,498
590,122,497
600,123,500
610,123,496
620,120,499
630,124,499
640,121,498
650,123,499
660,122,497
670,121,498
680,118,498
690,121,496
700,124,497
710,119,496
720,121,498
730,121,499
740,122,499
750,122,499
760,122,499
770,121,498
780,121,499
790,122,498
800,125,497
810,125,498
820,123,499
830,125,498
840,122,498
850,122,500
860,122,499
870,122,499
880,122,497
890,122,498
900,122,500
910,122,498
920,122,499
930,121,498
940,121,498
950,121,499
960,121,497
970,122,499
980,122,500
990,122,499
