timestamp,MQ-135,MQ-7
0,101,515
10,96,505
20,98,507
30,95,507
40,99,507
50,98,506
60,98,507
70,101,507
80,102,507
90,100,507
100,100,507
110,100,508
120,102,509
130,100,509
140,100,507
150,102,506
160,103,507
170,103,507
180,109,510
190,112,510
200,111,507
210,104,509
220,107,508
230,116,510
240,120,509
250,124,511
260,123,509
270,124,509
280,123,509
290,123,509
300,121,508
310,122,510
320,122,508
330,125,511
340,123,508
350,123,511
360,124,508
370,123,510
380,125,510
390,124,509
400,121,510
410,124,510
420,122,510
430,124,511
440,124,509
450,123,511
460,125,509
470,122,510
480,124,511
490,124,510
500,122,511
510,124,509
520,123,511
530,122,510
540,123,510
550,121,511
560,122,509
570,122,509
580,122,510
590,122,509
600,121,510
610,118,508
620,119,509
630,119,507
640,120,508
650,119,508
660,119,510
670,119,510
680,118,508
690,120,509
700,121,508
710,119,509
720,119,509
730,119,510
740,119,509
750,119,509
760,119,509
770,120,510
780,120,511
790,119,508
800,119,509
810,119,510
820,120,510
830,121,509
840,120,510
850,119,508
860,121,511
870,121,511
880,123,509
890,119,510
900,120,509
910,119,508
920,121,510
930,120,510
940,119,509
950,117,510
960,120,509
970,120,509
980,121,508
990,122,510
