timestamp,MQ-135,MQ-7
0,109,523
10,108,513
20,113,515
30,111,514
40,103,512
50,96,513
60,99,511
70,100,512
80,100,511
90,101,510
100,100,511
110,102,510
120,101,511
130,101,511
140,104,512
150,102,512
160,114,513
170,115,512
180,123,514
190,122,515
200,122,513
210,122,514
220,121,514
230,121,516
240,121,515
250,122,515
260,123,514
270,123,515
280,122,513
290,123,514
300,122,514
310,120,513
320,121,514
330,122,513
340,121,514
350,122,516
360,122,514
370,125,515
380,124,515
390,123,515
400,125,516
410,121,515
420,123,513
430,122,515
440,124,515
450,124,514
460,119,513
470,124,516
480,125,513
490,123,514
500,122,514
510,126,513
520,123,513
530,123,513
540,124,515
550,120,516
560,124,515
570,123,515
580,125,515
590,123,516
600,124,514
610,123,515
620,124,514
630,123,516
640,123,514
650,123,515
660,125,514
670,124,514
680,124,515
690,124,515
700,125,515
710,123,514
720,124,515
730,125,515
740,124,513
750,124,516
760,125,514
770,124,514
780,123,516
790,124,515
800,121,515
810,124,516
820,124,515
830,122,513
840,124,514
850,124,515
860,124,515
870,124,515
880,124,516
890,124,514
900,126,515
910,122,515
920,124,515
930,121,513
940,121,516
950,123,515
960,123,516
970,122,514
980,121,513
990,122,516
