timestamp,MQ-135,MQ-7
0,166,527
10,168,519
20,166,521
30,166,520
40,165,521
50,165,520
60,164,521
70,164,521
80,164,521
90,164,520
100,163,521
110,164,520
120,165,519
130,164,521
140,165,521
150,165,521
160,166,521
170,165,521
180,166,521
190,167,521
200,166,520
210,165,521
220,167,520
230,165,520
240,165,521
250,164,519
260,166,519
270,166,522
280,166,521
290,166,520
300,167,521
310,165,521
320,166,520
330,166,522
340,166,521
350,166,522
360,166,520
370,166,521
380,166,520
390,166,521
400,166,521
410,166,521
420,165,521
430,166,521
440,163,521
450,166,522
460,166,521
470,166,519
480,165,521
490,167,521
500,166,522
510,167,521
520,166,519
530,166,521
540,166,521
550,166,520
560,166,521
570,168,520
580,166,520
590,164,520
600,166,521
610,166,521
620,166,521
630,168,521
640,165,521
650,166,521
660,166,520
670,169,521
680,164,521
690,167,522
700,165,520
710,166,520
720,166,521
730,166,520
740,165,521
750,170,521
760,167,521
770,165,522
780,167,522
790,166,520
800,167,520
810,166,521
820,166,521
830,166,521
840,166,520
850,165,522
860,167,521
870,165,521
880,166,520
890,166,520
900,167,522
910,166,522
920,166,519
930,166,521
940,166,521
950,166,521
960,166,520
970,166,520
980,165,521
990,165,521
