timestamp,MQ-135,MQ-7
0,137,526
10,135,517
20,137,516
30,137,517
40,137,519
50,136,518
60,137,517
70,137,515
80,137,516
90,136,516
100,136,517
110,135,515
120,137,517
130,139,519
140,139,518
150,139,517
160,138,518
170,139,518
180,140,518
190,139,518
200,139,517
210,137,516
220,138,516
230,138,516
240,139,516
250,139,517
260,139,517
270,138,518
280,140,517
290,139,517
300,138,517
310,138,518
320,138,518
330,138,517
340,139,517
350,138,518
360,139,517
370,138,515
380,139,516
390,139,516
400,140,518
410,138,517
420,139,518
430,139,518
440,138,517
450,138,515
460,139,518
470,139,517
480,138,518
490,141,518
500,138,517
510,139,517
520,138,516
530,136,515
540,138,517
550,137,517
560,139,517
570,139,515
580,140,518
590,139,516
600,139,516
610,140,517
620,138,517
630,139,517
640,138,515
650,139,518
660,139,516
670,139,518
680,139,518
690,139,517
700,139,518
710,139,518
720,140,519
730,138,517
740,139,516
750,141,517
760,139,518
770,139,518
780,139,516
790,141,517
800,139,517
810,140,519
820,141,518
830,140,519
840,139,519
850,141,517
860,139,518
870,139,516
880,140,516
890,139,519
900,139,519
910,139,517
920,138,518
930,140,519
940,138,517
950,140,517
960,139,517
970,139,518
980,140,518
990,139,517
