timestamp,MQ-135,MQ-7
0,124,523
10,118,513
20,116,512
30,114,513
40,106,513
50,111,513
60,111,513
70,111,513
80,113,512
90,114,511
100,113,512
110,112,511
120,116,513
130,109,512
140,115,512
150,115,513
160,113,512
170,114,513
180,115,512
190,120,513
200,122,513
210,121,513
220,120,513
230,119,514
240,119,513
250,117,513
260,118,511
270,118,512
280,118,512
290,120,513
300,119,514
310,118,512
320,118,512
330,120,513
340,120,512
350,118,512
360,115,512
370,119,514
380,117,513
390,118,510
400,115,513
410,118,511
420,117,510
430,117,514
440,117,512
450,117,512
460,118,512
470,113,513
480,117,513
490,117,513
500,119,512
510,121,511
520,117,511
530,117,511
540,116,511
550,117,513
560,118,513
570,116,513
580,117,513
590,118,511
600,124,511
610,117,512
620,117,512
630,118,511
640,118,512
650,118,512
660,123,510
670,118,512
680,117,512
690,118,512
700,118,512
710,119,512
720,116,511
730,117,513
740,117,512
750,120,514
760,121,511
770,118,512
780,118,511
790,119,511
800,119,511
810,118,511
820,115,509
830,119,508
840,121,507
850,122,507
860,120,505
870,119,506
880,120,505
890,119,504
900,118,504
910,119,496
920,119,499
930,119,500
940,119,501
950,119,504
960,119,502
970,120,498
980,120,497
990,117,504
