timestamp,MQ-135,MQ-7
0,149,522
10,150,512
20,150,512
30,148,511
40,141,510
50,135,510
60,131,509
70,98,505
80,97,502
90,91,501
100,101,504
110,102,503
120,103,504
130,105,506
140,106,507
150,108,505
160,108,507
170,111,505
180,111,507
190,115,506
200,139,509
210,143,510
220,142,509
230,148,508
240,150,510
250,150,510
260,151,511
270,149,511
280,150,511
290,151,509
300,149,511
310,148,511
320,148,510
330,148,509
340,147,510
350,148,511
360,148,510
370,147,509
380,148,510
390,148,509
400,147,511
410,148,511
420,147,511
430,148,512
440,149,512
450,148,512
460,146,513
470,148,513
480,148,514
490,148,512
500,148,512
510,150,511
520,148,513
530,148,513
540,147,513
550,148,513
560,148,512
570,145,515
580,148,515
590,151,512
600,148,515
610,145,514
620,146,515
630,148,513
640,146,513
650,145,514
660,147,513
670,147,514
680,147,515
690,148,514
700,148,515
710,147,513
720,147,513
730,147,513
740,147,513
750,147,513
760,147,513
770,147,514
780,148,515
790,148,514
800,149,515
810,147,513
820,147,513
830,147,514
840,147,514
850,146,514
860,148,513
870,148,512
880,148,514
890,147,515
900,148,513
910,147,514
920,147,514
930,147,513
940,147,512
950,147,514
960,145,513
970,147,515
980,148,514
990,148,514
