timestamp,MQ-135,MQ-7
0,153,333
10,151,345
20,150,344
30,146,346
40,127,340
50,126,340
60,115,339
70,119,340
80,126,341
90,127,342
100,131,345
110,137,341
120,136,346
130,133,345
140,131,344
150,129,344
160,130,345
170,138,345
180,145,347
190,142,345
200,142,348
210,145,347
220,149,348
230,150,346
240,153,348
250,151,349
260,152,349
270,151,347
280,151,348
290,154,348
300,153,347
310,152,347
320,152,346
330,153,349
340,152,349
350,153,350
360,152,348
370,153,350
380,152,350
390,152,349
400,153,350
410,152,349
420,153,349
430,153,347
440,152,347
450,152,348
460,153,349
470,154,349
480,153,350
490,153,351
500,155,347
510,153,349
520,153,349
530,153,350
540,154,349
550,153,350
560,154,348
570,154,349
580,151,347
590,153,349
600,153,348
610,151,350
620,151,350
630,153,349
640,155,348
650,152,350
660,152,347
670,152,348
680,153,350
690,154,347
700,155,348
710,152,346
720,153,350
730,152,347
740,152,346
750,153,347
760,152,350
770,153,348
780,153,347
790,155,348
800,152,349
810,153,348
820,152,349
830,152,347
840,152,349
850,150,348
860,153,346
870,155,348
880,153,348
890,153,349
900,156,350
910,155,349
920,153,349
930,152,349
940,153,348
950,153,348
960,151,350
970,152,350
980,152,349
990,151,349
