timestamp,MQ-135,MQ-7
0,145,523
10,145,515
20,146,514
30,147,512
40,147,515
50,146,513
60,145,513
70,146,512
80,148,513
90,146,511
100,148,511
110,147,513
120,148,514
130,147,513
140,147,515
150,147,514
160,147,512
170,146,514
180,147,514
190,148,514
200,146,512
210,146,515
220,143,514
230,145,513
240,146,515
250,144,514
260,145,513
270,146,513
280,146,514
290,145,514
300,145,514
310,145,515
320,146,515
330,145,514
340,145,514
350,145,513
360,145,515
370,139,512
380,145,514
390,145,515
400,146,514
410,143,514
420,145,514
430,143,514
440,144,514
450,145,514
460,145,515
470,145,514
480,145,512
490,145,514
500,143,512
510,145,513
520,146,514
530,145,512
540,145,514
550,145,512
560,144,515
570,145,514
580,146,515
590,145,515
600,145,512
610,144,516
620,144,513
630,145,514
640,145,514
650,146,514
660,145,514
670,145,515
680,145,513
690,145,516
700,145,514
710,146,513
720,145,514
730,145,512
740,146,516
750,147,513
760,146,514
770,146,515
780,146,514
790,146,516
800,147,516
810,145,515
820,146,513
830,145,515
840,146,516
850,145,515
860,148,516
870,146,514
880,146,513
890,145,514
900,146,514
910,145,514
920,146,513
930,146,515
940,146,516
950,145,514
960,146,514
970,146,513
980,145,515
990,145,513
