timestamp,MQ-135,MQ-7
0,127,527
10,130,520
20,127,520
30,128,520
40,125,519
50,127,520
60,131,518
70,131,520
80,125,519
90,125,521
100,125,520
110,125,519
120,124,519
130,123,519
140,125,520
150,122,518
160,123,518
170,125,519
180,123,520
190,125,519
200,125,520
210,124,518
220,125,518
230,124,519
240,125,519
250,125,520
260,128,520
270,129,518
280,130,519
290,131,521
300,129,519
310,131,520
320,132,521
330,132,519
340,131,519
350,130,519
360,128,519
370,125,518
380,128,520
390,127,519
400,127,519
410,128,519
420,127,518
430,128,519
440,128,518
450,128,517
460,125,519
470,125,519
480,127,519
490,127,519
500,127,518
510,128,519
520,126,517
530,127,519
540,126,519
550,126,518
560,127,519
570,127,519
580,127,518
590,127,519
600,128,520
610,127,518
620,128,517
630,127,520
640,127,518
650,127,520
660,128,519
670,127,518
680,127,519
690,128,519
700,127,520
710,127,518
720,127,520
730,127,517
740,127,520
750,127,517
760,128,519
770,127,519
780,127,518
790,127,518
800,128,519
810,126,517
820,127,520
830,126,519
840,127,520
850,127,517
860,127,518
870,127,520
880,127,518
890,127,518
900,127,520
910,127,518
920,126,518
930,125,517
940,126,518
950,126,520
960,130,519
970,126,520
980,126,519
990,128,518
