timestamp,MQ-135,MQ-7
0,135,527
10,137,520
20,134,519
30,133,518
40,133,519
50,131,520
60,129,518
70,133,519
80,130,520
90,128,519
100,128,519
110,128,517
120,129,519
130,128,518
140,129,517
150,130,518
160,128,519
170,128,517
180,128,518
190,127,516
200,128,517
210,129,518
220,127,519
230,129,519
240,130,519
250,129,516
260,128,519
270,128,518
280,131,517
290,131,519
300,130,518
310,131,518
320,132,517
330,133,519
340,135,518
350,134,520
360,134,519
370,137,520
380,136,518
390,138,519
400,136,519
410,134,518
420,132,519
430,128,518
440,129,519
450,129,518
460,128,519
470,126,517
480,126,516
490,126,515
500,127,516
510,126,514
520,123,517
530,126,515
540,128,516
550,127,516
560,125,515
570,124,516
580,123,515
590,124,515
600,123,516
610,122,516
620,125,515
630,123,515
640,121,516
650,118,515
660,118,514
670,123,517
680,119,515
690,122,516
700,120,516
710,121,516
720,121,517
730,119,514
740,121,517
750,120,517
760,121,516
770,121,516
780,121,515
790,122,516
800,121,517
810,122,515
820,124,516
830,120,516
840,122,515
850,120,517
860,121,516
870,121,516
880,121,514
890,122,516
900,122,516
910,122,516
920,119,517
930,122,515
940,121,517
950,121,516
960,122,516
970,121,516
980,120,516
990,121,516
