timestamp,MQ-135,MQ-7
0,150,529
10,149,521
20,151,523
30,151,523
40,151,522
50,150,523
60,150,521
70,152,523
80,151,523
90,150,522
100,149,522
110,150,521
120,150,522
130,151,522
140,151,523
150,150,522
160,151,523
170,150,522
180,151,523
190,150,522
200,150,521
210,151,523
220,151,523
230,152,523
240,151,522
250,150,522
260,151,523
270,151,523
280,149,522
290,151,523
300,152,523
310,152,523
320,149,524
330,151,522
340,151,524
350,152,522
360,150,522
370,151,522
380,151,522
390,152,523
400,151,522
410,151,521
420,150,521
430,151,523
440,151,522
450,151,522
460,152,521
470,152,522
480,151,522
490,151,523
500,151,522
510,151,523
520,150,522
530,151,520
540,151,523
550,151,521
560,150,520
570,151,523
580,151,523
590,151,522
600,151,523
610,152,522
620,151,522
630,152,521
640,151,521
650,151,522
660,151,522
670,151,522
680,152,522
690,150,521
700,150,522
710,150,522
720,150,522
730,152,523
740,150,522
750,151,521
760,151,520
770,154,523
780,148,521
790,150,523
800,149,523
810,150,521
820,150,520
830,152,522
840,151,523
850,154,523
860,151,522
870,151,523
880,151,521
890,151,523
900,152,520
910,150,522
920,151,522
930,153,521
940,150,523
950,151,521
960,154,522
970,150,522
980,151,522
990,150,521
