timestamp,MQ-135,MQ-7
0,145,529
10,147,524
20,148,525
30,147,524
40,147,524
50,147,524
60,147,522
70,146,523
80,148,525
90,147,523
100,147,524
110,147,524
120,149,522
130,147,523
140,147,524
150,147,523
160,147,523
170,148,524
180,147,524
190,147,524
200,146,523
210,146,525
220,146,524
230,147,524
240,146,524
250,146,523
260,145,523
270,147,524
280,144,525
290,146,525
300,147,525
310,146,522
320,146,524
330,145,524
340,147,524
350,146,522
360,145,524
370,146,522
380,145,523
390,144,525
400,146,523
410,146,524
420,146,524
430,148,522
440,145,524
450,146,524
460,145,524
470,145,523
480,148,523
490,144,522
500,145,523
510,148,524
520,146,524
530,147,524
540,146,523
550,147,523
560,145,523
570,146,523
580,146,524
590,145,523
600,146,524
610,146,524
620,146,524
630,147,523
640,146,524
650,146,523
660,148,524
670,145,522
680,145,523
690,146,524
700,146,523
710,145,523
720,146,524
730,146,523
740,147,524
750,145,524
760,147,522
770,146,523
780,144,523
790,146,524
800,148,522
810,146,524
820,146,525
830,146,525
840,146,524
850,148,525
860,146,522
870,147,524
880,146,524
890,150,524
900,144,524
910,146,523
920,147,522
930,147,524
940,146,522
950,147,524
960,147,522
970,146,524
980,146,523
990,147,524
