timestamp,MQ-135,MQ-7
0,148,522
10,145,512
20,145,511
30,148,510
40,151,511
50,151,512
60,148,509
70,148,511
80,148,513
90,148,510
100,148,512
110,149,513
120,149,510
130,147,511
140,151,510
150,149,511
160,150,510
170,149,511
180,150,512
190,148,511
200,149,512
210,149,510
220,150,512
230,150,511
240,149,510
250,148,512
260,148,512
270,147,512
280,148,511
290,147,510
300,147,509
310,144,510
320,147,512
330,147,511
340,147,511
350,146,510
360,145,511
370,147,511
380,147,511
390,147,509
400,147,511
410,147,510
420,146,511
430,147,510
440,147,512
450,148,511
460,150,511
470,146,512
480,148,511
490,148,513
500,145,512
510,148,512
520,148,514
530,147,512
540,147,511
550,148,513
560,148,513
570,149,514
580,148,514
590,148,513
600,148,512
610,145,512
620,148,515
630,148,513
640,150,512
650,149,510
660,149,515
670,148,514
680,148,513
690,148,513
700,148,511
710,145,512
720,148,514
730,148,514
740,148,513
750,149,515
760,149,513
770,149,512
780,150,514
790,149,513
800,150,513
810,148,510
820,148,512
830,148,513
840,146,514
850,148,514
860,148,514
870,149,513
880,149,515
890,149,514
900,148,514
910,148,514
920,148,512
930,147,511
940,148,512
950,149,511
960,149,513
970,149,515
980,150,515
990,148,515
