timestamp,MQ-135,MQ-7
0,123,527
10,123,517
20,123,519
30,123,519
40,122,518
50,121,517
60,121,519
70,121,518
80,122,519
90,124,519
100,127,518
110,122,518
120,121,519
130,121,518
140,120,516
150,122,518
160,122,518
170,121,518
180,122,518
190,122,518
200,121,519
210,122,518
220,121,518
230,122,518
240,122,519
250,121,517
260,121,516
270,120,518
280,122,518
290,123,518
300,122,517
310,122,519
320,124,519
330,122,517
340,122,517
350,121,517
360,122,517
370,123,518
380,121,517
390,122,517
400,123,517
410,123,518
420,122,517
430,122,519
440,123,518
450,123,518
460,124,518
470,123,518
480,123,519
490,125,517
500,123,517
510,123,517
520,121,517
530,123,518
540,124,516
550,121,519
560,123,519
570,124,519
580,124,518
590,123,517
600,125,518
610,123,517
620,124,516
630,124,517
640,121,519
650,123,517
660,123,518
670,123,517
680,124,517
690,124,518
700,123,519
710,122,518
720,123,518
730,126,519
740,126,518
750,125,519
760,126,519
770,126,518
780,125,518
790,125,520
800,124,518
810,125,517
820,126,520
830,126,519
840,127,520
850,125,519
860,125,519
870,126,518
880,126,516
890,124,518
900,125,517
910,126,519
920,124,518
930,125,518
940,126,519
950,124,518
960,125,518
970,125,517
980,125,519
990,123,519
