timestamp,MQ-135,MQ-7
0,125,525
10,124,516
20,121,514
30,120,515
40,120,514
50,115,512
60,112,513
70,113,510
80,113,512
90,115,510
100,118,512
110,114,512
120,116,512
130,115,512
140,117,510
150,116,512
160,118,512
170,116,511
180,118,512
190,117,514
200,127,513
210,120,511
220,121,513
230,120,513
240,123,513
250,124,513
260,125,515
270,124,513
280,124,512
290,123,514
300,122,514
310,123,514
320,123,515
330,123,514
340,124,512
350,124,513
360,126,515
370,125,514
380,126,514
390,125,514
400,124,512
410,125,514
420,125,512
430,125,513
440,126,514
450,126,515
460,127,514
470,125,514
480,124,513
490,126,514
500,126,513
510,127,514
520,128,514
530,128,514
540,127,512
550,126,515
560,126,513
570,125,514
580,125,513
590,125,514
600,125,513
610,124,512
620,125,514
630,123,513
640,129,514
650,124,514
660,125,514
670,126,514
680,125,514
690,125,514
700,124,514
710,124,514
720,126,514
730,126,515
740,126,515
750,126,515
760,125,513
770,127,515
780,124,514
790,125,514
800,126,514
810,125,514
820,125,514
830,127,514
840,127,514
850,126,515
860,127,514
870,126,514
880,126,514
890,127,513
900,126,514
910,125,513
920,126,513
930,126,515
940,126,513
950,126,512
960,125,514
970,126,513
980,122,513
990,124,514
