timestamp,MQ-135,MQ-7
0,129,526
10,128,515
20,127,516
30,122,515
40,124,515
50,123,516
60,123,514
70,124,513
80,125,515
90,124,514
100,124,516
110,124,513
120,125,516
130,124,515
140,124,514
150,125,516
160,124,515
170,126,515
180,127,516
190,129,513
200,130,517
210,129,515
220,129,515
230,129,514
240,131,516
250,129,516
260,130,516
270,130,516
280,129,515
290,129,516
300,129,515
310,127,513
320,128,514
330,127,514
340,128,515
350,129,516
360,127,514
370,128,515
380,129,516
390,129,514
400,130,515
410,130,515
420,129,514
430,128,514
440,129,514
450,129,514
460,126,513
470,130,515
480,129,516
490,129,515
500,130,516
510,129,514
520,128,515
530,132,514
540,129,514
550,130,515
560,130,515
570,130,514
580,130,514
590,129,515
600,130,515
610,130,515
620,130,515
630,131,514
640,130,514
650,128,516
660,130,515
670,130,515
680,130,516
690,130,515
700,131,515
710,132,513
720,129,514
730,129,514
740,131,514
750,130,516
760,132,514
770,130,513
780,129,515
790,130,514
800,132,516
810,129,515
820,129,514
830,128,515
840,128,514
850,129,513
860,129,514
870,130,516
880,130,514
890,132,515
900,129,515
910,130,516
920,126,514
930,128,515
940,132,514
950,129,514
960,129,514
970,129,515
980,130,515
990,132,515
