timestamp,MQ-135,MQ-7
0,153,334
10,145,342
20,120,342
30,130,345
40,86,337
50,57,336
60,65,335
70,117,347
80,118,346
90,115,348
100,117,347
110,120,348
120,120,344
130,120,347
140,121,350
150,123,350
160,124,349
170,128,349
180,137,352
190,120,349
200,129,351
210,141,353
220,150,355
230,152,357
240,154,356
250,150,356
260,153,356
270,153,355
280,154,352
290,153,358
300,153,355
310,153,355
320,154,358
330,154,358
340,155,354
350,151,356
360,154,357
370,155,356
380,155,356
390,154,354
400,157,356
410,155,357
420,155,355
430,155,357
440,155,357
450,155,353
460,156,355
470,155,355
480,154,354
490,155,356
500,156,355
510,155,356
520,155,356
530,155,353
540,155,354
550,156,355
560,155,357
570,155,354
580,155,356
590,158,355
600,155,354
610,155,355
620,155,356
630,155,355
640,156,355
650,154,355
660,155,355
670,152,354
680,154,356
690,155,355
700,156,354
710,155,356
720,155,356
730,155,354
740,154,356
750,155,355
760,155,354
770,155,354
780,154,354
790,154,356
800,155,354
810,155,355
820,156,356
830,155,353
840,154,354
850,155,353
860,155,354
870,155,354
880,155,356
890,155,353
900,155,355
910,154,353
920,155,353
930,155,356
940,158,354
950,155,353
960,157,354
970,155,355
980,156,355
990,152,356
