timestamp,MQ-135,MQ-7
0,155,529
10,156,523
20,155,523
30,155,523
40,154,521
50,154,521
60,154,522
70,155,522
80,154,521
90,154,522
100,154,523
110,154,522
120,155,521
130,154,522
140,153,522
150,153,523
160,154,523
170,155,523
180,154,521
190,154,522
200,154,523
210,155,524
220,156,524
230,154,524
240,153,522
250,154,522
260,154,521
270,154,523
280,154,523
290,153,523
300,154,523
310,154,523
320,154,524
330,154,523
340,155,523
350,154,523
360,154,522
370,154,522
380,154,523
390,153,521
400,154,523
410,154,523
420,154,523
430,154,522
440,153,523
450,154,523
460,154,522
470,154,522
480,155,523
490,155,522
500,154,522
510,155,522
520,152,523
530,154,523
540,154,521
550,153,522
560,154,522
570,152,524
580,154,522
590,154,523
600,153,522
610,152,523
620,153,522
630,153,523
640,154,522
650,153,523
660,153,522
670,154,522
680,154,523
690,154,523
700,154,522
710,154,523
720,155,521
730,154,524
740,153,523
750,156,523
760,155,523
770,155,521
780,156,523
790,154,521
800,154,523
810,154,521
820,153,524
830,155,523
840,154,522
850,153,522
860,153,522
870,153,524
880,155,523
890,154,521
900,153,523
910,154,520
920,153,522
930,154,523
940,153,521
950,154,522
960,150,522
970,152,522
980,153,522
990,153,522
