timestamp,MQ-135,MQ-7
0,149,524
10,149,516
20,149,516
30,149,516
40,149,516
50,148,516
60,149,515
70,148,514
80,149,516
90,149,515
100,148,516
110,149,514
120,149,515
130,147,515
140,149,516
150,149,515
160,149,515
170,149,515
180,149,515
190,146,517
200,148,515
210,149,515
220,149,515
230,149,514
240,150,515
250,149,513
260,149,514
270,149,514
280,149,513
290,149,514
300,148,515
310,149,514
320,150,515
330,149,514
340,150,516
350,149,515
360,149,514
370,149,514
380,149,514
390,150,515
400,149,514
410,148,515
420,149,514
430,150,514
440,150,515
450,150,514
460,149,514
470,149,514
480,148,514
490,149,514
500,150,513
510,149,514
520,150,514
530,150,513
540,149,514
550,147,512
560,149,513
570,149,513
580,149,514
590,149,515
600,149,514
610,150,512
620,149,515
630,149,515
640,150,514
650,149,514
660,148,513
670,149,514
680,149,515
690,149,515
700,150,514
710,150,515
720,149,514
730,149,514
740,149,513
750,149,513
760,149,512
770,147,512
780,151,513
790,149,514
800,151,514
810,150,512
820,149,513
830,150,513
840,149,513
850,150,513
860,150,513
870,149,513
880,149,514
890,151,514
900,151,513
910,150,514
920,147,513
930,149,513
940,150,514
950,153,514
960,150,514
970,149,513
980,149,513
990,149,512
