timestamp,MQ-135,MQ-7
0,143,527
10,143,522
20,142,520
30,142,521
40,139,520
50,142,521
60,141,521
70,141,521
80,142,521
90,141,521
100,142,522
110,143,520
120,142,521
130,142,519
140,143,521
150,143,520
160,143,521
170,143,520
180,143,522
190,143,520
200,143,519
210,143,520
220,143,519
230,143,520
240,143,521
250,143,521
260,143,521
270,143,522
280,143,520
290,143,520
300,144,520
310,143,520
320,143,520
330,143,520
340,144,521
350,143,520
360,144,520
370,143,520
380,144,520
390,143,522
400,144,521
410,143,522
420,143,521
430,143,520
440,143,520
450,143,522
460,143,521
470,143,521
480,143,520
490,143,521
500,144,521
510,143,520
520,143,519
530,144,522
540,144,521
550,144,521
560,144,522
570,146,521
580,143,522
590,144,520
600,145,521
610,144,520
620,143,521
630,144,521
640,141,522
650,144,521
660,144,519
670,144,522
680,145,521
690,144,520
700,143,521
710,144,519
720,144,522
730,143,519
740,143,519
750,141,520
760,143,521
770,143,520
780,143,520
790,144,521
800,143,522
810,144,521
820,145,520
830,144,521
840,144,521
850,144,519
860,144,521
870,144,522
880,144,521
890,142,520
900,144,521
910,145,521
920,144,520
930,144,520
940,145,519
950,144,521
960,144,520
970,144,520
980,144,520
990,144,520
