timestamp,MQ-135,MQ-7
0,97,514
10,100,507
20,95,505
30,90,506
40,91,505
50,89,503
60,92,505
70,97,506
80,95,504
90,95,504
100,96,504
110,93,505
120,95,504
130,96,504
140,96,505
150,101,505
160,96,505
170,107,505
180,109,508
190,106,506
200,117,506
210,121,508
220,120,509
230,114,509
240,110,506
250,116,509
260,115,507
270,112,508
280,114,508
290,113,508
300,115,509
310,116,507
320,114,507
330,116,507
340,115,508
350,115,507
360,114,506
370,116,509
380,116,507
390,117,508
400,116,509
410,117,509
420,118,507
430,118,508
440,117,508
450,117,509
460,118,507
470,118,509
480,118,507
490,117,508
500,117,509
510,118,506
520,119,508
530,121,507
540,120,508
550,120,508
560,120,508
570,120,508
580,121,509
590,121,508
600,120,509
610,121,508
620,120,508
630,121,507
640,120,507
650,120,507
660,120,508
670,120,508
680,120,508
690,120,507
700,120,509
710,121,506
720,123,508
730,121,508
740,121,509
750,121,508
760,121,509
770,121,508
780,121,509
790,120,508
800,119,507
810,120,509
820,121,506
830,121,510
840,121,510
850,122,507
860,119,508
870,120,508
880,121,509
890,120,508
900,119,510
910,122,509
920,122,509
930,121,508
940,122,508
950,123,509
960,121,508
970,120,508
980,121,509
990,122,510
