timestamp,MQ-135,MQ-7
0,128,527
10,126,519
20,124,518
30,128,517
40,126,519
50,133,519
60,130,518
70,132,518
80,127,518
90,129,518
100,128,517
110,130,519
120,129,520
130,129,518
140,129,520
150,130,517
160,129,519
170,130,518
180,130,519
190,131,517
200,135,519
210,135,520
220,140,519
230,139,520
240,141,519
250,139,519
260,141,519
270,140,520
280,139,519
290,140,521
300,140,519
310,139,520
320,140,519
330,136,519
340,140,518
350,138,518
360,140,520
370,139,520
380,137,518
390,130,520
400,132,518
410,132,519
420,130,518
430,129,519
440,131,520
450,128,518
460,129,518
470,129,520
480,129,518
490,134,520
500,129,518
510,127,518
520,129,519
530,127,519
540,127,517
550,126,518
560,127,518
570,125,519
580,127,519
590,127,518
600,126,519
610,129,517
620,127,519
630,126,518
640,125,518
650,127,519
660,125,518
670,124,519
680,125,518
690,124,518
700,124,518
710,122,517
720,123,518
730,124,516
740,124,519
750,122,519
760,125,520
770,126,518
780,125,518
790,124,520
800,125,517
810,123,518
820,124,518
830,124,518
840,124,519
850,124,518
860,124,519
870,125,519
880,124,517
890,124,518
900,124,519
910,123,518
920,122,517
930,123,516
940,122,517
950,122,516
960,122,519
970,122,518
980,122,518
990,122,518
