timestamp,MQ-135,MQ-7
0,96,500
10,81,490
20,90,490
30,86,492
40,82,491
50,89,489
60,96,492
70,97,491
80,101,493
90,103,494
100,103,494
110,103,493
120,102,493
130,103,493
140,104,493
150,105,493
160,105,492
170,110,492
180,108,493
190,108,493
200,105,492
210,116,494
220,123,496
230,125,496
240,125,495
250,126,494
260,125,496
270,122,495
280,123,496
290,122,494
300,122,494
310,122,495
320,121,495
330,123,496
340,124,496
350,123,494
360,123,496
370,123,496
380,123,496
390,124,495
400,122,495
410,121,497
420,123,494
430,123,495
440,123,495
450,122,494
460,122,494
470,121,494
480,123,497
490,121,496
500,123,495
510,123,495
520,123,495
530,123,495
540,123,495
550,123,492
560,126,495
570,121,495
580,123,495
590,125,495
600,124,492
610,124,495
620,123,494
630,125,495
640,124,496
650,124,495
660,123,494
670,122,495
680,124,495
690,126,495
700,125,494
710,123,496
720,123,493
730,123,495
740,124,495
750,123,494
760,124,494
770,121,493
780,123,495
790,123,493
800,123,494
810,124,494
820,121,493
830,123,494
840,123,492
850,122,495
860,124,495
870,125,492
880,123,495
890,124,495
900,123,495
910,124,493
920,125,494
930,123,495
940,123,493
950,124,495
960,124,493
970,124,494
980,124,494
990,124,494
