timestamp,MQ-135,MQ-7
0,156,344
10,155,352
20,155,355
30,154,357
40,152,355
50,147,356
60,126,351
70,123,353
80,132,353
90,127,353
100,129,356
110,137,356
120,143,356
130,137,356
140,140,356
150,143,359
160,140,358
170,145,359
180,152,361
190,156,361
200,156,360
210,152,359
220,156,359
230,157,359
240,155,358
250,155,359
260,155,359
270,156,359
280,156,360
290,157,358
300,156,360
310,156,359
320,156,359
330,156,361
340,156,357
350,155,360
360,156,357
370,154,359
380,154,359
390,156,359
400,156,360
410,158,360
420,153,357
430,158,361
440,157,359
450,156,358
460,156,358
470,157,359
480,159,359
490,156,359
500,156,359
510,156,359
520,156,360
530,156,357
540,153,361
550,156,359
560,157,357
570,157,359
580,156,359
590,156,360
600,156,361
610,156,360
620,155,361
630,156,356
640,156,361
650,156,357
660,156,360
670,156,359
680,156,361
690,155,362
700,157,358
710,156,360
720,156,358
730,157,360
740,157,360
750,156,359
760,157,359
770,157,362
780,157,359
790,155,358
800,157,358
810,157,358
820,158,361
830,157,360
840,157,359
850,157,360
860,157,360
870,157,360
880,157,360
890,157,361
900,156,359
910,156,361
920,156,361
930,156,361
940,156,360
950,156,361
960,156,360
970,157,361
980,156,361
990,158,361
