timestamp,MQ-135,MQ-7
0,144,522
10,143,514
20,145,514
30,144,514
40,148,514
50,143,514
60,143,512
70,143,512
80,142,514
90,144,514
100,144,514
110,144,512
120,147,514
130,144,513
140,146,515
150,146,514
160,145,513
170,147,515
180,147,514
190,145,513
200,147,515
210,146,514
220,147,515
230,146,512
240,145,514
250,146,514
260,145,513
270,145,514
280,144,514
290,145,513
300,143,512
310,144,514
320,144,513
330,144,514
340,143,515
350,144,514
360,144,514
370,144,514
380,145,514
390,145,515
400,145,514
410,145,514
420,144,512
430,144,513
440,145,514
450,144,514
460,145,512
470,144,514
480,145,514
490,144,515
500,145,512
510,145,515
520,144,514
530,145,513
540,145,514
550,144,514
560,144,514
570,144,514
580,144,513
590,144,514
600,144,512
610,144,514
620,144,514
630,145,515
640,145,514
650,144,512
660,144,515
670,144,514
680,144,513
690,145,515
700,144,515
710,144,513
720,144,514
730,144,514
740,144,513
750,144,512
760,144,514
770,145,515
780,144,514
790,144,514
800,145,514
810,147,515
820,145,515
830,144,513
840,146,515
850,146,513
860,144,513
870,145,514
880,145,512
890,146,514
900,142,514
910,145,514
920,144,515
930,144,514
940,144,512
950,145,514
960,146,514
970,145,513
980,145,512
990,146,515
