timestamp,MQ-135,MQ-7
0,145,498
10,146,478
20,146,479
30,145,477
40,145,480
50,144,482
60,144,483
70,145,482
80,144,483
90,143,483
100,143,485
110,144,484
120,144,487
130,144,487
140,145,486
150,144,488
160,145,489
170,147,487
180,147,488
190,147,491
200,146,488
210,146,489
220,145,490
230,145,492
240,145,490
250,145,491
260,145,493
270,146,493
280,145,494
290,145,493
300,142,493
310,145,493
320,145,495
330,145,494
340,145,495
350,145,494
360,144,495
370,145,495
380,146,497
390,145,494
400,144,495
410,144,495
420,143,495
430,144,498
440,145,497
450,146,496
460,145,497
470,145,495
480,145,498
490,146,496
500,144,497
510,144,499
520,145,497
530,145,498
540,144,498
550,144,498
560,145,499
570,145,497
580,145,499
590,145,499
600,145,499
610,145,499
620,147,498
630,144,497
640,145,499
650,146,498
660,145,498
670,145,499
680,145,501
690,144,499
700,144,498
710,145,501
720,145,500
730,145,499
740,145,498
750,147,499
760,145,500
770,145,499
780,145,500
790,145,500
800,145,501
810,145,502
820,145,501
830,145,500
840,145,501
850,145,502
860,145,502
870,146,499
880,145,501
890,146,502
900,145,502
910,145,499
920,146,503
930,146,503
940,147,501
950,146,502
960,146,502
970,145,502
980,146,504
990,147,503
