timestamp,MQ-135,MQ-7
0,149,527
10,150,522
20,150,522
30,150,523
40,151,521
50,151,524
60,151,523
70,151,522
80,152,522
90,150,521
100,150,522
110,152,523
120,148,523
130,151,522
140,150,520
150,149,522
160,152,520
170,150,520
180,150,522
190,151,523
200,151,520
210,148,521
220,150,520
230,150,522
240,150,522
250,150,523
260,149,522
270,150,522
280,150,522
290,150,522
300,149,522
310,150,522
320,150,522
330,150,523
340,151,521
350,149,521
360,152,522
370,151,523
380,150,523
390,149,522
400,149,522
410,150,521
420,150,523
430,150,522
440,148,523
450,149,522
460,150,522
470,150,523
480,151,523
490,150,522
500,150,522
510,150,522
520,150,524
530,151,523
540,150,523
550,150,523
560,150,522
570,150,523
580,148,522
590,150,523
600,150,523
610,149,521
620,150,522
630,147,522
640,149,522
650,150,521
660,148,521
670,150,522
680,150,523
690,150,521
700,148,523
710,150,522
720,150,523
730,151,521
740,150,522
750,153,522
760,149,522
770,152,524
780,150,522
790,150,523
800,150,524
810,150,522
820,149,522
830,151,523
840,150,521
850,151,522
860,150,524
870,150,523
880,150,522
890,151,522
900,151,523
910,151,521
920,150,522
930,150,523
940,150,523
950,151,524
960,150,523
970,154,524
980,151,523
990,151,523
