timestamp,MQ-135,MQ-7
0,147,522
10,148,510
20,150,510
30,150,510
40,152,509
50,148,511
60,146,509
70,146,510
80,139,507
90,132,506
100,142,506
110,130,507
120,131,507
130,132,506
140,144,510
150,146,509
160,144,509
170,148,511
180,146,509
190,150,509
200,150,510
210,149,510
220,147,509
230,149,511
240,147,509
250,147,511
260,148,510
270,148,510
280,150,509
290,148,511
300,146,510
310,147,510
320,146,509
330,146,508
340,146,510
350,147,511
360,146,509
370,147,508
380,146,511
390,146,510
400,146,510
410,147,510
420,146,510
430,146,510
440,146,510
450,147,510
460,147,511
470,147,512
480,147,511
490,147,509
500,147,510
510,149,511
520,147,512
530,148,511
540,147,510
550,147,512
560,145,510
570,146,511
580,147,509
590,147,511
600,146,511
610,147,510
620,147,509
630,149,511
640,147,511
650,144,511
660,144,510
670,146,511
680,146,511
690,145,510
700,145,510
710,145,511
720,146,512
730,146,511
740,146,511
750,146,510
760,149,511
770,145,511
780,144,510
790,146,511
800,145,511
810,146,511
820,145,510
830,146,511
840,146,509
850,146,512
860,145,511
870,146,511
880,146,510
890,146,509
900,146,511
910,149,511
920,146,510
930,145,510
940,146,511
950,146,512
960,145,510
970,146,510
980,146,511
990,145,510
