timestamp,MQ-135,MQ-7
0,99,513
10,93,504
20,91,503
30,91,504
40,81,501
50,86,502
60,60,499
70,83,500
80,95,502
90,91,501
100,79,499
110,77,499
120,70,498
130,61,497
140,78,498
150,70,498
160,72,498
170,85,500
180,81,502
190,81,500
200,77,501
210,97,500
220,97,503
230,85,501
240,82,500
250,84,501
260,85,501
270,114,507
280,101,505
290,104,504
300,114,505
310,117,506
320,117,506
330,115,505
340,118,504
350,118,507
360,118,505
370,118,507
380,118,508
390,119,506
400,118,507
410,119,505
420,119,506
430,120,506
440,118,507
450,118,507
460,118,508
470,117,506
480,118,507
490,119,506
500,119,509
510,119,507
520,120,507
530,120,506
540,119,508
550,117,507
560,118,506
570,118,508
580,120,508
590,119,507
600,118,507
610,120,506
620,120,508
630,120,507
640,119,507
650,118,507
660,118,506
670,121,507
680,119,506
690,118,507
700,119,509
710,118,507
720,118,508
730,118,508
740,120,508
750,119,507
760,119,507
770,119,507
780,119,509
790,122,507
800,122,507
810,122,505
820,121,507
830,120,507
840,122,507
850,122,507
860,121,507
870,123,507
880,121,508
890,121,505
900,125,507
910,121,507
920,121,506
930,122,507
940,122,507
950,122,508
960,122,506
970,122,507
980,121,507
990,119,507
