timestamp,MQ-135,MQ-7
0,130,520
10,130,512
20,127,512
30,128,511
40,123,511
50,122,510
60,123,510
70,121,510
80,119,508
90,120,510
100,118,510
110,118,509
120,118,508
130,118,508
140,116,510
150,119,508
160,119,510
170,120,509
180,121,509
190,124,510
200,126,510
210,126,511
220,128,510
230,127,509
240,125,509
250,125,509
260,123,509
270,126,511
280,127,511
290,126,510
300,126,510
310,124,510
320,125,509
330,127,510
340,126,508
350,125,510
360,126,509
370,125,509
380,125,510
390,126,510
400,122,510
410,125,510
420,124,510
430,125,509
440,125,510
450,125,510
460,125,511
470,125,510
480,125,510
490,125,511
500,123,509
510,125,508
520,126,510
530,123,509
540,126,510
550,124,511
560,124,509
570,126,510
580,124,509
590,124,510
600,124,509
610,124,508
620,124,509
630,123,509
640,124,508
650,126,509
660,124,509
670,122,510
680,124,509
690,122,509
700,126,509
710,124,509
720,125,509
730,124,509
740,124,511
750,127,510
760,126,510
770,125,509
780,126,510
790,126,509
800,126,507
810,124,509
820,126,510
830,124,509
840,131,511
850,125,510
860,126,509
870,126,510
880,124,509
890,126,510
900,130,510
910,124,508
920,127,509
930,125,509
940,126,509
950,124,510
960,126,508
970,126,509
980,125,509
990,126,510
