timestamp,MQ-135,MQ-7
0,108,519
10,99,510
20,115,511
30,103,508
40,107,510
50,109,510
60,107,510
70,109,510
80,107,508
90,107,509
100,107,508
110,108,510
120,107,508
130,106,509
140,103,509
150,99,507
160,104,509
170,99,509
180,99,508
190,120,511
200,121,511
210,122,512
220,123,512
230,123,511
240,124,512
250,124,512
260,124,511
270,125,512
280,124,511
290,124,512
300,124,510
310,124,512
320,123,512
330,124,512
340,122,510
350,123,511
360,124,511
370,123,511
380,123,510
390,123,511
400,122,511
410,122,511
420,122,511
430,125,512
440,124,510
450,122,511
460,123,512
470,122,511
480,120,511
490,122,510
500,123,510
510,122,511
520,122,511
530,121,511
540,121,512
550,121,511
560,121,512
570,122,511
580,121,512
590,120,510
600,120,511
610,120,512
620,120,512
630,120,511
640,121,512
650,123,511
660,121,511
670,121,511
680,121,511
690,123,511
700,123,512
710,122,512
720,123,511
730,122,511
740,122,510
750,122,509
760,122,510
770,123,513
780,124,511
790,122,513
800,124,511
810,124,511
820,124,512
830,123,512
840,120,513
850,121,513
860,121,512
870,121,510
880,121,511
890,123,512
900,121,511
910,121,513
920,119,513
930,121,511
940,122,511
950,120,511
960,118,512
970,120,512
980,121,512
990,120,513
