timestamp,MQ-135,MQ-7
0,123,525
10,122,514
20,123,515
30,122,515
40,122,515
50,121,515
60,121,515
70,120,515
80,119,512
90,118,515
100,120,512
110,117,513
120,118,514
130,118,515
140,117,512
150,117,514
160,117,512
170,118,512
180,118,514
190,118,514
200,118,514
210,119,514
220,119,514
230,117,514
240,120,515
250,121,514
260,121,515
270,121,514
280,120,514
290,119,513
300,121,514
310,120,512
320,122,514
330,126,515
340,121,515
350,121,513
360,120,514
370,121,514
380,122,514
390,122,514
400,119,513
410,123,514
420,122,513
430,121,514
440,121,513
450,119,514
460,122,513
470,122,514
480,120,514
490,121,512
500,124,514
510,119,513
520,122,513
530,121,513
540,122,512
550,120,515
560,120,513
570,122,513
580,121,512
590,119,513
600,124,514
610,122,513
620,122,514
630,121,513
640,123,514
650,122,513
660,119,514
670,122,513
680,122,514
690,124,513
700,120,514
710,122,514
720,120,515
730,122,514
740,121,515
750,122,514
760,123,514
770,123,514
780,122,512
790,123,515
800,120,514
810,122,514
820,123,514
830,120,514
840,122,513
850,121,514
860,122,514
870,122,515
880,121,514
890,123,513
900,122,514
910,122,513
920,121,513
930,120,513
940,122,513
950,121,513
960,119,514
970,119,514
980,122,514
990,120,513
