timestamp,MQ-135,MQ-7
0,150,526
10,149,518
20,149,517
30,149,518
40,147,516
50,150,516
60,149,516
70,149,517
80,150,515
90,150,518
100,149,517
110,150,516
120,149,515
130,150,516
140,149,517
150,150,516
160,150,515
170,150,516
180,149,515
190,147,515
200,150,515
210,149,514
220,149,515
230,149,515
240,150,515
250,151,515
260,149,515
270,149,515
280,148,516
290,150,515
300,150,515
310,149,516
320,150,516
330,150,516
340,152,516
350,149,515
360,149,516
370,147,514
380,149,515
390,148,514
400,149,515
410,149,515
420,150,514
430,147,514
440,148,516
450,149,514
460,150,514
470,149,514
480,149,515
490,148,513
500,149,514
510,150,516
520,151,514
530,150,516
540,145,514
550,148,514
560,149,514
570,149,514
580,149,516
590,149,513
600,146,514
610,148,513
620,149,514
630,146,513
640,149,515
650,148,515
660,150,515
670,151,515
680,150,514
690,149,514
700,148,514
710,149,515
720,148,512
730,147,515
740,149,515
750,149,514
760,149,514
770,149,514
780,149,514
790,149,514
800,148,515
810,149,515
820,149,514
830,150,516
840,149,516
850,149,515
860,149,515
870,149,514
880,149,513
890,149,515
900,150,514
910,149,515
920,149,515
930,149,514
940,149,514
950,149,513
960,149,514
970,149,515
980,150,514
990,149,514
