timestamp,MQ-135,MQ-7
0,141,527
10,141,522
20,141,520
30,143,520
40,140,522
50,140,521
60,140,522
70,141,522
80,141,522
90,139,521
100,139,520
110,140,522
120,141,518
130,141,520
140,140,519
150,139,520
160,141,520
170,142,521
180,142,520
190,140,519
200,141,522
210,142,522
220,143,521
230,143,521
240,142,522
250,142,521
260,141,521
270,140,522
280,143,521
290,142,522
300,142,521
310,142,521
320,143,520
330,144,520
340,140,521
350,142,522
360,139,520
370,141,522
380,142,522
390,139,522
400,144,519
410,142,520
420,142,521
430,142,521
440,142,520
450,142,521
460,142,520
470,144,521
480,141,522
490,143,522
500,141,521
510,141,520
520,142,522
530,142,522
540,142,521
550,142,522
560,141,520
570,142,519
580,142,520
590,142,520
600,141,521
610,142,520
620,142,522
630,142,522
640,142,521
650,142,521
660,141,520
670,142,521
680,143,520
690,143,522
700,142,521
710,145,520
720,143,520
730,143,523
740,141,521
750,142,523
760,144,523
770,142,521
780,143,521
790,141,521
800,141,520
810,137,516
820,137,514
830,137,516
840,137,516
850,138,516
860,138,517
870,138,515
880,136,518
890,138,517
900,138,518
910,139,518
920,139,519
930,138,519
940,139,519
950,139,518
960,138,519
970,138,517
980,139,518
990,139,520
