timestamp,MQ-135,MQ-7
0,156,324
10,156,338
20,156,341
30,156,344
40,156,346
50,157,345
60,157,346
70,157,341
80,156,338
90,156,339
100,155,340
110,156,340
120,156,340
130,156,342
140,156,344
150,156,346
160,156,348
170,159,349
180,157,351
190,157,354
200,156,352
210,157,350
220,156,353
230,158,352
240,157,354
250,157,353
260,158,350
270,158,353
280,158,352
290,156,353
300,158,354
310,159,353
320,158,353
330,158,354
340,158,353
350,158,353
360,158,354
370,158,355
380,158,353
390,157,354
400,159,354
410,158,354
420,158,355
430,157,356
440,155,355
450,157,352
460,158,356
470,159,356
480,158,357
490,157,356
500,158,355
510,158,357
520,158,356
530,158,355
540,157,358
550,158,357
560,159,357
570,159,356
580,158,357
590,156,360
600,158,355
610,158,356
620,158,357
630,158,357
640,157,357
650,158,358
660,158,356
670,157,357
680,157,356
690,157,356
700,158,356
710,158,356
720,158,357
730,158,357
740,157,358
750,156,358
760,158,358
770,158,356
780,158,357
790,157,355
800,159,356
810,158,358
820,157,356
830,157,357
840,157,358
850,157,359
860,157,361
870,159,358
880,156,359
890,157,358
900,157,357
910,158,358
920,157,357
930,157,359
940,157,358
950,158,358
960,157,355
970,159,361
980,158,358
990,159,359
