timestamp,MQ-135,MQ-7
0,155,526
10,152,518
20,152,518
30,151,517
40,151,517
50,151,517
60,152,517
70,151,516
80,151,517
90,152,516
100,152,516
110,151,515
120,151,516
130,152,516
140,151,516
150,151,515
160,151,514
170,151,515
180,151,514
190,152,515
200,152,514
210,154,516
220,152,515
230,153,515
240,152,514
250,152,514
260,151,515
270,153,514
280,153,516
290,151,515
300,149,515
310,154,514
320,150,515
330,151,515
340,151,514
350,151,514
360,151,514
370,152,513
380,152,515
390,152,513
400,151,515
410,151,514
420,152,514
430,154,515
440,154,514
450,151,514
460,150,515
470,152,514
480,152,513
490,151,514
500,151,514
510,152,514
520,152,513
530,152,513
540,153,512
550,153,513
560,151,512
570,152,514
580,151,514
590,152,512
600,151,515
610,150,514
620,151,512
630,151,513
640,149,512
650,151,513
660,152,512
670,149,514
680,154,514
690,151,513
700,151,513
710,151,513
720,151,514
730,152,514
740,151,513
750,151,512
760,151,512
770,151,513
780,151,514
790,152,512
800,152,513
810,152,514
820,151,512
830,152,514
840,153,512
850,151,514
860,152,513
870,152,513
880,152,514
890,149,512
900,154,513
910,151,514
920,152,514
930,152,514
940,150,512
950,152,513
960,152,512
970,153,513
980,151,513
990,152,512
