timestamp,MQ-135,MQ-7
0,145,521
10,143,510
20,143,509
30,141,507
40,138,507
50,136,508
60,136,509
70,137,510
80,136,511
90,135,512
100,135,512
110,135,513
120,134,514
130,134,513
140,133,514
150,133,512
160,134,515
170,134,515
180,133,514
190,133,515
200,133,515
210,133,515
220,134,515
230,133,515
240,134,516
250,133,515
260,134,517
270,133,515
280,134,516
290,133,514
300,134,515
310,133,515
320,133,515
330,134,517
340,134,516
350,133,515
360,134,514
370,134,515
380,134,516
390,134,516
400,134,515
410,135,515
420,134,516
430,135,514
440,135,516
450,134,515
460,135,515
470,135,517
480,135,516
490,135,515
500,135,516
510,135,517
520,134,516
530,135,516
540,134,516
550,136,515
560,134,516
570,132,517
580,135,517
590,134,517
600,135,516
610,135,517
620,135,517
630,135,517
640,135,515
650,134,518
660,134,517
670,135,517
680,135,516
690,136,517
700,134,516
710,136,515
720,135,517
730,134,515
740,135,516
750,135,515
760,136,516
770,135,516
780,136,515
790,136,517
800,136,516
810,137,517
820,135,517
830,137,517
840,138,517
850,136,518
860,136,516
870,134,516
880,135,516
890,136,516
900,135,515
910,138,515
920,135,517
930,136,517
940,137,517
950,138,517
960,138,518
970,139,517
980,139,516
990,132,516
