timestamp,MQ-135,MQ-7
0,144,528
10,142,518
20,142,518
30,145,518
40,146,519
50,146,519
60,144,518
70,145,517
80,146,517
90,147,517
100,145,516
110,147,518
120,147,516
130,146,517
140,147,515
150,147,516
160,147,514
170,149,516
180,146,513
190,144,516
200,138,514
210,139,515
220,148,514
230,144,516
240,143,516
250,143,516
260,143,515
270,145,514
280,142,513
290,142,515
300,141,513
310,141,513
320,138,512
330,141,511
340,140,510
350,139,512
360,142,512
370,138,512
380,141,513
390,140,513
400,139,512
410,139,513
420,139,513
430,136,513
440,139,515
450,138,512
460,138,514
470,138,513
480,135,513
490,139,515
500,136,514
510,138,514
520,140,514
530,138,513
540,139,513
550,138,512
560,140,513
570,138,514
580,141,514
590,138,515
600,138,513
610,139,514
620,138,515
630,140,513
640,140,514
650,140,515
660,141,514
670,138,514
680,140,513
690,138,513
700,139,514
710,139,513
720,138,514
730,138,514
740,140,514
750,140,514
760,140,513
770,137,513
780,139,513
790,138,514
800,140,514
810,143,514
820,140,514
830,139,514
840,139,514
850,140,514
860,140,516
870,136,513
880,140,513
890,138,515
900,140,514
910,139,513
920,139,513
930,141,514
940,137,514
950,139,514
960,140,514
970,144,514
980,139,513
990,140,512
