timestamp,MQ-135,MQ-7
0,130,525
10,131,516
20,133,515
30,132,515
40,129,516
50,129,514
60,129,515
70,129,516
80,129,517
90,129,515
100,130,516
110,131,515
120,128,516
130,128,515
140,130,515
150,129,516
160,129,514
170,133,516
180,129,515
190,130,515
200,123,514
210,123,514
220,123,515
230,123,516
240,124,513
250,126,514
260,123,513
270,123,514
280,121,513
290,121,513
300,123,513
310,124,513
320,125,514
330,125,513
340,123,514
350,124,514
360,125,515
370,124,514
380,124,514
390,125,514
400,124,513
410,124,513
420,125,515
430,126,513
440,124,515
450,125,514
460,122,513
470,125,513
480,122,512
490,124,514
500,125,513
510,125,514
520,125,513
530,125,514
540,125,513
550,126,514
560,125,512
570,124,513
580,124,513
590,124,514
600,125,513
610,125,512
620,125,514
630,126,513
640,127,512
650,126,514
660,126,512
670,126,514
680,127,513
690,122,513
700,124,514
710,124,515
720,125,514
730,125,513
740,126,514
750,125,513
760,126,513
770,123,512
780,124,514
790,124,514
800,123,514
810,124,513
820,125,514
830,124,513
840,124,512
850,126,514
860,125,513
870,124,513
880,128,512
890,124,511
900,124,512
910,124,512
920,124,513
930,124,512
940,126,514
950,124,514
960,124,512
970,125,512
980,124,512
990,124,512
