timestamp,MQ-135,MQ-7
0,129,524
10,127,517
20,124,516
30,126,516
40,126,516
50,126,515
60,129,515
70,127,516
80,125,514
90,128,514
100,128,514
110,126,514
120,129,515
130,128,515
140,129,516
150,128,514
160,128,514
170,129,515
180,129,514
190,130,514
200,128,515
210,130,515
220,129,516
230,129,515
240,128,515
250,128,516
260,127,514
270,127,514
280,129,516
290,128,515
300,128,514
310,128,514
320,128,515
330,126,514
340,128,515
350,127,514
360,128,513
370,129,516
380,127,515
390,128,516
400,128,516
410,128,514
420,128,515
430,128,514
440,129,515
450,128,515
460,128,514
470,128,515
480,128,514
490,129,515
500,127,515
510,128,514
520,129,515
530,129,516
540,129,515
550,127,515
560,128,512
570,128,516
580,127,514
590,128,513
600,128,515
610,129,514
620,128,515
630,127,514
640,128,514
650,128,513
660,130,514
670,128,513
680,128,514
690,128,515
700,128,515
710,128,513
720,132,514
730,127,514
740,129,515
750,129,514
760,129,514
770,130,514
780,129,514
790,129,515
800,130,515
810,130,513
820,131,516
830,128,514
840,130,515
850,129,514
860,130,515
870,128,513
880,127,514
890,128,513
900,128,512
910,130,515
920,128,515
930,130,513
940,129,516
950,129,514
960,128,513
970,129,514
980,128,513
990,129,514
