timestamp,MQ-135,MQ-7
0,109,493
10,107,472
20,109,475
30,110,477
40,112,479
50,112,482
60,116,480
70,112,485
80,112,485
90,114,488
100,114,490
110,113,489
120,112,492
130,112,493
140,114,494
150,112,496
160,109,496
170,111,498
180,111,498
190,113,499
200,111,498
210,111,500
220,113,502
230,112,500
240,111,502
250,113,503
260,111,503
270,110,504
280,110,504
290,111,504
300,112,505
310,109,505
320,109,507
330,110,505
340,109,506
350,112,507
360,110,507
370,111,508
380,111,509
390,109,509
400,108,509
410,110,508
420,111,509
430,110,510
440,110,509
450,110,510
460,110,509
470,111,511
480,110,510
490,110,512
500,109,510
510,109,511
520,110,511
530,110,510
540,111,512
550,110,511
560,111,511
570,111,512
580,109,512
590,112,512
600,110,513
610,110,512
620,110,514
630,110,513
640,109,512
650,110,512
660,111,513
670,111,514
680,109,512
690,110,513
700,112,514
710,112,512
720,113,514
730,109,514
740,111,512
750,111,514
760,113,514
770,112,515
780,112,514
790,113,515
800,113,515
810,114,514
820,112,517
830,112,515
840,114,514
850,112,516
860,113,516
870,113,515
880,113,515
890,112,516
900,114,515
910,110,515
920,113,516
930,116,515
940,112,516
950,112,515
960,114,517
970,111,516
980,111,516
990,113,517
