timestamp,MQ-135,MQ-7
0,141,526
10,141,522
20,141,522
30,141,521
40,142,522
50,142,522
60,142,521
70,141,522
80,141,522
90,141,519
100,141,521
110,143,521
120,141,520
130,142,521
140,142,521
150,141,520
160,142,520
170,142,520
180,142,519
190,141,520
200,141,521
210,141,519
220,141,521
230,141,519
240,141,521
250,143,519
260,143,519
270,141,519
280,140,517
290,139,518
300,139,516
310,141,517
320,141,519
330,142,520
340,142,520
350,142,519
360,141,518
370,142,520
380,141,521
390,142,521
400,142,520
410,142,520
420,143,520
430,141,520
440,145,520
450,143,520
460,142,521
470,143,519
480,143,520
490,142,519
500,143,520
510,141,518
520,143,521
530,142,520
540,143,521
550,142,520
560,143,518
570,142,520
580,143,519
590,143,520
600,144,519
610,143,518
620,142,519
630,142,519
640,142,519
650,143,520
660,142,521
670,140,520
680,142,520
690,142,520
700,142,520
710,144,519
720,140,519
730,142,518
740,142,520
750,142,521
760,142,520
770,143,520
780,141,520
790,140,520
800,138,518
810,142,519
820,142,520
830,142,520
840,142,519
850,142,518
860,142,520
870,141,519
880,142,519
890,142,519
900,142,518
910,142,519
920,141,520
930,141,518
940,141,518
950,141,520
960,141,520
970,141,520
980,142,519
990,141,520
