timestamp,MQ-135,MQ-7
0,166,527
10,166,522
20,165,522
30,166,523
40,166,521
50,166,522
60,164,521
70,165,522
80,164,521
90,165,522
100,165,521
110,164,521
120,164,521
130,164,522
140,164,521
150,164,523
160,163,521
170,164,523
180,164,520
190,165,522
200,165,522
210,167,522
220,166,521
230,167,521
240,166,521
250,166,522
260,166,523
270,165,520
280,166,522
290,166,521
300,166,523
310,165,522
320,165,520
330,166,521
340,164,520
350,166,520
360,166,521
370,168,521
380,167,521
390,166,522
400,167,522
410,166,521
420,165,523
430,167,520
440,167,522
450,165,520
460,166,523
470,165,522
480,165,522
490,167,520
500,165,521
510,166,520
520,166,522
530,165,521
540,165,523
550,166,521
560,165,522
570,166,521
580,165,521
590,165,522
600,165,521
610,168,520
620,165,521
630,166,520
640,165,521
650,166,522
660,167,522
670,163,520
680,166,521
690,165,521
700,165,522
710,165,522
720,165,521
730,165,522
740,165,522
750,164,520
760,166,522
770,165,521
780,164,522
790,164,521
800,163,521
810,164,522
820,164,522
830,161,520
840,163,521
850,163,521
860,164,522
870,164,520
880,165,520
890,165,521
900,165,521
910,165,521
920,165,522
930,165,522
940,165,521
950,164,521
960,165,521
970,164,521
980,165,520
990,165,520
