timestamp,MQ-135,MQ-7
0,139,526
10,140,520
20,140,520
30,140,519
40,140,519
50,140,520
60,139,518
70,139,519
80,140,516
90,140,517
100,140,518
110,139,517
120,140,518
130,140,517
140,140,518
150,140,517
160,141,519
170,140,518
180,141,519
190,141,518
200,141,518
210,141,519
220,141,519
230,140,518
240,140,518
250,141,519
260,140,517
270,141,518
280,141,519
290,141,519
300,140,518
310,140,518
320,141,519
330,140,517
340,141,516
350,142,519
360,140,519
370,142,517
380,141,516
390,141,518
400,141,518
410,140,517
420,138,517
430,141,518
440,141,519
450,140,517
460,140,518
470,141,516
480,141,517
490,141,519
500,141,518
510,141,519
520,141,517
530,141,517
540,140,518
550,138,516
560,140,518
570,141,519
580,141,518
590,140,517
600,141,517
610,140,518
620,141,517
630,141,517
640,141,518
650,142,518
660,141,517
670,141,518
680,141,516
690,141,519
700,142,518
710,140,516
720,141,519
730,141,517
740,141,518
750,141,519
760,140,517
770,140,518
780,139,519
790,141,518
800,141,518
810,141,518
820,144,518
830,141,517
840,140,518
850,141,516
860,141,518
870,141,518
880,141,519
890,141,518
900,142,517
910,141,518
920,141,516
930,141,517
940,142,518
950,140,518
960,140,519
970,141,518
980,139,517
990,146,515
