timestamp,MQ-135,MQ-7
0,156,525
10,155,515
20,155,513
30,153,513
40,153,513
50,154,514
60,155,514
70,157,515
80,156,514
90,154,513
100,154,513
110,154,513
120,153,512
130,151,513
140,153,512
150,152,512
160,154,513
170,154,514
180,155,513
190,155,511
200,155,513
210,153,511
220,151,508
230,148,510
240,149,513
250,148,513
260,148,511
270,145,510
280,146,512
290,147,512
300,150,512
310,147,511
320,145,511
330,146,510
340,146,510
350,149,512
360,146,512
370,150,511
380,143,512
390,147,510
400,148,512
410,148,513
420,146,513
430,145,512
440,146,511
450,143,512
460,147,512
470,147,513
480,146,511
490,145,512
500,145,513
510,145,513
520,147,513
530,146,513
540,144,512
550,149,513
560,147,513
570,146,512
580,145,514
590,145,513
600,147,513
610,145,514
620,145,513
630,148,514
640,145,513
650,144,512
660,146,514
670,147,513
680,146,514
690,147,514
700,146,512
710,145,513
720,144,513
730,145,513
740,146,512
750,145,512
760,143,513
770,145,513
780,145,513
790,144,513
800,145,513
810,145,513
820,146,514
830,144,514
840,147,512
850,146,513
860,145,512
870,146,513
880,145,513
890,146,513
900,145,513
910,147,513
920,145,513
930,145,513
940,145,513
950,142,512
960,145,512
970,146,512
980,146,514
990,148,513
