timestamp,MQ-135,MQ-7
0,136,425
10,135,417
20,130,404
30,126,399
40,120,399
50,118,392
60,123,398
70,124,396
80,122,395
90,118,395
100,120,393
110,120,390
120,121,391
130,120,393
140,120,392
150,120,392
160,121,394
170,116,393
180,119,393
190,124,397
200,124,395
210,122,401
220,128,402
230,129,404
240,130,407
250,128,404
260,128,405
270,124,406
280,123,407
290,125,409
300,125,410
310,131,412
320,125,416
330,125,417
340,125,420
350,124,422
360,124,426
370,127,428
380,125,430
390,126,434
400,125,434
410,124,436
420,125,440
430,125,442
440,125,447
450,126,446
460,128,448
470,128,454
480,127,452
490,124,457
500,126,458
510,125,459
520,127,462
530,126,463
540,126,467
550,123,466
560,126,469
570,126,470
580,126,472
590,126,473
600,125,475
610,126,477
620,128,477
630,127,479
640,127,481
650,127,481
660,126,484
670,128,485
680,128,486
690,126,487
700,128,487
710,128,488
720,127,491
730,126,489
740,128,493
750,130,492
760,128,494
770,128,493
780,128,493
790,128,495
800,128,493
810,128,495
820,128,496
830,128,494
840,129,496
850,129,496
860,128,496
870,130,499
880,129,499
890,130,499
900,131,497
910,129,499
920,129,499
930,128,497
940,129,499
950,130,501
960,129,500
970,129,499
980,129,500
990,129,502
