timestamp,MQ-135,MQ-7
0,167,361
10,166,365
20,167,363
30,167,364
40,167,360
50,167,363
60,166,364
70,166,365
80,166,363
90,167,362
100,168,364
110,166,362
120,167,364
130,166,365
140,169,364
150,166,364
160,166,365
170,166,364
180,166,363
190,167,364
200,167,365
210,166,361
220,167,363
230,167,365
240,168,365
250,165,364
260,168,366
270,167,364
280,168,365
290,168,366
300,169,363
310,169,364
320,166,364
330,167,365
340,168,366
350,167,366
360,166,366
370,168,366
380,167,365
390,168,363
400,167,366
410,168,364
420,168,367
430,167,362
440,167,367
450,168,365
460,169,364
470,167,366
480,168,365
490,167,365
500,168,364
510,168,363
520,168,365
530,168,362
540,166,362
550,168,366
560,168,361
570,167,367
580,166,362
590,167,365
600,168,365
610,167,362
620,167,367
630,166,363
640,169,366
650,167,364
660,167,363
670,167,365
680,166,362
690,168,364
700,169,365
710,165,364
720,168,367
730,168,365
740,167,365
750,169,365
760,167,363
770,166,365
780,163,363
790,167,364
800,164,365
810,167,364
820,167,367
830,168,365
840,167,366
850,169,366
860,168,366
870,167,367
880,167,364
890,167,364
900,165,366
910,169,365
920,168,366
930,167,364
940,168,367
950,170,365
960,169,365
970,168,366
980,166,365
990,167,365
