timestamp,MQ-135,MQ-7
0,128,522
10,127,516
20,129,516
30,130,515
40,128,517
50,126,514
60,126,513
70,127,516
80,126,515
90,127,515
100,127,514
110,123,515
120,126,515
130,127,515
140,127,513
150,127,515
160,128,513
170,128,513
180,130,515
190,130,514
200,131,515
210,130,515
220,128,515
230,129,514
240,128,516
250,128,513
260,129,513
270,129,515
280,130,515
290,130,516
300,130,515
310,130,515
320,130,515
330,130,515
340,131,516
350,130,516
360,130,514
370,130,514
380,129,513
390,129,512
400,130,515
410,130,514
420,130,515
430,130,512
440,130,514
450,132,514
460,130,514
470,130,516
480,130,514
490,130,514
500,131,516
510,131,515
520,131,515
530,131,515
540,131,515
550,128,515
560,131,515
570,131,514
580,132,514
590,131,514
600,131,515
610,130,515
620,132,515
630,131,516
640,131,516
650,132,516
660,130,514
670,131,516
680,130,514
690,130,514
700,131,515
710,131,514
720,132,514
730,131,515
740,131,515
750,128,514
760,132,514
770,131,514
780,131,514
790,131,515
800,130,514
810,132,514
820,131,514
830,131,515
840,131,516
850,131,514
860,131,513
870,133,516
880,130,516
890,131,514
900,130,514
910,130,515
920,131,515
930,131,514
940,132,516
950,132,516
960,131,514
970,132,515
980,131,515
990,131,516
