timestamp,MQ-135,MQ-7
0,167,526
10,166,510
20,165,509
30,166,509
40,166,511
50,167,510
60,166,511
70,166,509
80,166,512
90,166,511
100,166,511
110,166,513
120,164,513
130,166,512
140,166,512
150,165,512
160,166,513
170,166,512
180,167,512
190,164,514
200,167,514
210,167,514
220,166,515
230,167,514
240,167,514
250,167,514
260,167,516
270,167,516
280,166,515
290,166,514
300,166,517
310,166,516
320,167,517
330,167,514
340,167,515
350,166,516
360,166,516
370,167,517
380,167,517
390,167,516
400,167,518
410,169,515
420,167,516
430,166,517
440,167,518
450,167,518
460,166,516
470,167,518
480,166,518
490,164,518
500,169,518
510,166,517
520,167,516
530,166,518
540,168,519
550,164,518
560,168,519
570,167,518
580,167,518
590,166,519
600,167,518
610,167,518
620,167,520
630,167,518
640,167,518
650,166,519
660,166,518
670,167,520
680,168,519
690,169,520
700,166,519
710,167,519
720,169,519
730,166,519
740,167,519
750,167,518
760,167,521
770,167,519
780,166,519
790,165,518
800,166,517
810,168,519
820,166,521
830,166,520
840,167,520
850,167,519
860,166,518
870,166,518
880,165,518
890,167,518
900,167,520
910,167,518
920,165,521
930,166,520
940,166,520
950,166,520
960,165,518
970,167,520
980,166,521
990,167,520
