timestamp,MQ-135,MQ-7
0,121,523
10,123,515
20,124,513
30,125,514
40,124,514
50,125,514
60,126,512
70,124,513
80,126,515
90,124,513
100,124,513
110,124,514
120,124,512
130,124,513
140,125,513
150,125,514
160,124,514
170,124,512
180,126,512
190,125,512
200,126,513
210,124,513
220,116,512
230,125,513
240,124,511
250,124,511
260,125,513
270,123,513
280,123,513
290,123,514
300,122,513
310,124,514
320,124,513
330,123,514
340,121,511
350,123,513
360,123,514
370,122,514
380,124,512
390,123,513
400,122,513
410,119,513
420,122,513
430,122,512
440,123,513
450,123,514
460,122,514
470,121,512
480,122,513
490,123,512
500,123,512
510,123,514
520,124,512
530,123,513
540,122,514
550,122,512
560,123,513
570,121,513
580,124,514
590,124,512
600,123,514
610,122,512
620,125,512
630,123,513
640,123,513
650,124,512
660,124,515
670,124,513
680,123,515
690,123,514
700,123,514
710,124,514
720,123,514
730,123,514
740,124,513
750,124,515
760,124,514
770,121,513
780,122,513
790,124,514
800,121,515
810,124,514
820,123,513
830,123,512
840,123,510
850,123,513
860,124,513
870,124,513
880,124,513
890,121,514
900,122,512
910,123,512
920,122,510
930,124,511
940,123,511
950,122,512
960,121,510
970,122,512
980,120,512
990,118,511
