timestamp,MQ-135,MQ-7
0,97,499
10,96,490
20,107,493
30,107,491
40,103,492
50,104,492
60,109,493
70,106,494
80,99,490
90,107,492
100,107,492
110,102,491
120,103,489
130,101,490
140,93,488
150,98,489
160,93,489
170,93,489
180,96,489
190,103,490
200,102,491
210,103,491
220,97,488
230,99,490
240,103,491
250,111,492
260,113,491
270,116,493
280,117,494
290,117,492
300,105,490
310,109,490
320,111,493
330,110,491
340,111,491
350,110,491
360,110,492
370,109,492
380,111,491
390,112,493
400,111,491
410,112,491
420,112,491
430,112,491
440,111,492
450,113,491
460,114,491
470,112,493
480,112,492
490,113,492
500,112,492
510,111,491
520,112,491
530,114,491
540,110,493
550,112,491
560,113,491
570,111,492
580,113,492
590,112,490
600,111,492
610,112,489
620,114,492
630,112,491
640,112,491
650,111,492
660,112,491
670,112,492
680,114,491
690,112,491
700,114,490
710,110,490
720,113,491
730,112,491
740,111,491
750,113,491
760,112,491
770,111,493
780,113,492
790,112,491
800,112,492
810,111,489
820,112,492
830,112,490
840,112,491
850,112,491
860,114,490
870,113,492
880,112,492
890,113,492
900,113,491
910,113,491
920,112,493
930,112,490
940,112,491
950,112,492
960,112,491
970,114,491
980,114,491
990,112,490
