timestamp,MQ-135,MQ-7
0,200,467
10,198,463
20,198,461
30,197,460
40,198,460
50,198,461
60,199,460
70,196,460
80,195,460
90,195,459
100,194,460
110,194,460
120,196,459
130,197,459
140,199,459
150,200,459
160,200,461
170,201,461
180,202,461
190,200,459
200,198,461
210,201,459
220,201,458
230,199,460
240,201,462
250,199,461
260,201,462
270,201,461
280,202,461
290,201,460
300,200,462
310,199,460
320,201,461
330,201,462
340,201,459
350,200,459
360,200,456
370,196,457
380,199,458
390,198,456
400,198,457
410,201,458
420,199,457
430,198,459
440,197,456
450,198,459
460,198,456
470,199,457
480,199,459
490,200,458
500,200,459
510,199,458
520,199,459
530,200,459
540,199,459
550,199,459
560,199,458
570,201,458
580,200,461
590,199,459
600,200,458
610,198,458
620,200,459
630,200,459
640,200,459
650,198,458
660,199,458
670,201,460
680,200,461
690,199,459
700,199,461
710,199,460
720,201,459
730,200,460
740,200,458
750,201,460
760,201,461
770,200,460
780,198,459
790,201,460
800,201,460
810,202,461
820,203,462
830,202,463
840,203,462
850,203,462
860,201,461
870,203,461
880,203,463
890,202,461
900,203,463
910,204,463
920,202,463
930,204,463
940,202,462
950,203,463
960,203,462
970,201,461
980,203,461
990,204,463
