timestamp,MQ-135,MQ-7
0,207,347
10,207,355
20,208,359
30,208,358
40,208,358
50,206,357
60,206,359
70,207,359
80,207,358
90,206,361
100,206,359
110,207,362
120,207,360
130,207,359
140,206,360
150,205,360
160,206,359
170,207,360
180,205,357
190,205,361
200,205,359
210,207,360
220,206,360
230,206,360
240,207,361
250,205,359
260,209,361
270,208,359
280,208,360
290,207,361
300,205,361
310,207,363
320,207,362
330,207,363
340,207,364
350,207,361
360,206,366
370,206,364
380,207,364
390,207,365
400,207,361
410,207,362
420,205,362
430,206,359
440,206,363
450,206,360
460,207,362
470,207,361
480,207,360
490,209,362
500,207,360
510,206,361
520,206,362
530,204,359
540,207,363
550,208,361
560,206,363
570,207,360
580,208,361
590,206,363
600,206,359
610,206,362
620,204,362
630,207,362
640,207,362
650,207,361
660,206,363
670,206,361
680,207,361
690,206,363
700,207,360
710,206,361
720,206,360
730,207,361
740,207,363
750,207,362
760,207,365
770,207,361
780,208,360
790,205,360
800,207,361
810,207,363
820,208,361
830,210,359
840,208,361
850,207,360
860,207,362
870,208,360
880,207,359
890,207,363
900,206,359
910,207,362
920,207,358
930,204,361
940,206,362
950,209,358
960,208,362
970,207,360
980,207,360
990,207,363
