timestamp,MQ-135,MQ-7
0,284,450
10,285,449
20,285,448
30,286,449
40,285,448
50,284,448
60,284,448
70,284,446
80,283,448
90,284,449
100,283,446
110,284,448
120,283,447
130,282,447
140,285,449
150,283,448
160,284,448
170,287,447
180,283,447
190,284,447
200,284,447
210,284,448
220,284,447
230,285,447
240,284,448
250,283,446
260,283,446
270,286,449
280,284,447
290,283,447
300,284,448
310,284,449
320,283,446
330,283,447
340,283,447
350,282,448
360,282,447
370,284,447
380,279,448
390,284,446
400,284,448
410,283,448
420,282,447
430,283,447
440,282,447
450,283,446
460,281,447
470,282,446
480,281,447
490,282,448
500,281,447
510,283,446
520,284,447
530,284,448
540,283,448
550,283,447
560,283,448
570,280,448
580,284,447
590,284,448
600,282,446
610,282,447
620,283,447
630,283,447
640,281,447
650,282,447
660,279,448
670,281,449
680,282,449
690,282,447
700,281,447
710,283,448
720,283,449
730,282,448
740,282,448
750,282,447
760,284,448
770,282,447
780,283,448
790,281,448
800,281,445
810,282,448
820,279,447
830,282,449
840,281,448
850,278,447
860,281,449
870,281,449
880,281,447
890,282,449
900,281,448
910,283,446
920,281,447
930,282,447
940,282,449
950,281,448
960,283,446
970,280,446
980,284,449
990,280,447
