timestamp,MQ-135,MQ-7
0,211,348
10,212,357
20,214,357
30,211,358
40,211,358
50,213,358
60,212,360
70,212,359
80,212,360
90,212,359
100,212,359
110,211,362
120,210,361
130,211,359
140,211,360
150,211,359
160,211,360
170,211,360
180,211,361
190,211,360
200,213,359
210,211,362
220,209,361
230,211,361
240,213,359
250,213,361
260,210,362
270,212,360
280,211,362
290,213,361
300,213,361
310,210,361
320,212,359
330,212,360
340,211,360
350,212,360
360,212,362
370,211,360
380,211,361
390,210,361
400,210,359
410,210,361
420,211,359
430,211,358
440,211,358
450,212,360
460,211,361
470,213,358
480,211,360
490,212,358
500,212,362
510,212,361
520,214,360
530,212,360
540,212,358
550,214,360
560,212,360
570,213,360
580,212,359
590,212,360
600,213,359
610,212,360
620,212,358
630,211,360
640,213,360
650,212,360
660,212,358
670,212,360
680,212,362
690,212,360
700,212,361
710,213,363
720,215,361
730,211,362
740,212,360
750,211,357
760,212,361
770,213,360
780,211,361
790,211,359
800,211,360
810,214,360
820,211,359
830,212,360
840,212,360
850,212,359
860,213,359
870,212,359
880,212,361
890,212,361
900,211,361
910,213,361
920,213,360
930,212,361
940,212,362
950,211,358
960,211,359
970,211,360
980,212,361
990,213,360
