timestamp,MQ-135,MQ-7
0,194,446
10,194,446
20,196,446
30,195,445
40,196,445
50,195,445
60,195,445
70,196,444
80,196,446
90,197,442
100,199,443
110,196,446
120,196,443
130,197,445
140,196,445
150,198,442
160,196,443
170,197,444
180,195,443
190,197,443
200,197,441
210,197,444
220,199,442
230,199,442
240,197,443
250,197,444
260,197,443
270,195,442
280,197,442
290,198,442
300,198,444
310,197,444
320,197,443
330,199,442
340,197,443
350,196,442
360,197,443
370,196,440
380,196,442
390,197,444
400,194,442
410,195,443
420,194,442
430,193,442
440,193,440
450,194,442
460,193,442
470,193,441
480,194,442
490,194,441
500,194,442
510,195,441
520,194,441
530,195,444
540,192,442
550,194,443
560,194,442
570,194,441
580,196,442
590,194,440
600,196,444
610,193,443
620,197,443
630,194,442
640,195,443
650,196,443
660,195,443
670,195,443
680,194,443
690,195,441
700,194,441
710,195,444
720,196,442
730,195,445
740,195,445
750,194,444
760,195,444
770,194,442
780,195,443
790,194,443
800,193,442
810,195,444
820,195,445
830,196,444
840,195,443
850,196,445
860,196,446
870,195,443
880,195,445
890,198,443
900,197,445
910,194,446
920,196,446
930,196,444
940,196,444
950,194,446
960,196,445
970,195,442
980,196,445
990,196,445
